category,likesNum,name,nameOnSite,descriptions
premium/racersgulch,0,Dry Gulch,Racer's Gulch - Dry Gulch,"Rez your racing vehicle and take it to the treacherous terrains of Dry Gulch, part of an exclusive Racer's Gulch area only accessible to Second Life Premium members."
premium/flightzones,0,Orville,Orville,"Take flight in Orville, a new exclusive Second Life airport and plane rez zone for Premium members."
roleplay/steampunk,0,Babbage Square,New Babbage,"This vast Victorian steampunk area is full of airships, clockwork devices, submersibles, and other amazing technology. It's an ideal place to explore life as it was in the 19th century."
howto,0,Caledon Oxbridge,Caledon,"This large, whimsical, and eclectic Victorian steampunk community stretches over fifty regions in Second Life. Caledon Oxbridge is where new Residents arrive and is the gateway to Victoria City and the numerous towns and countryside beyond."
music,0,The Station,The Station,"This indie-rock hangout and club is set inside an gleaming brass railway station. As well as streaming the latest indie pop/rock tunes during the day, live DJs spin their favorite songs every evening."
fashion,0,Tesla Isle,Unzipped at Tesla Isle,"Come see the Unzipped main store for clothing and accessories for steampunk, Victorian, gothic, cyberpunk, demons and many other genres. Explore the sim to find mysterious hidden places perfect for photography or machinima. Tesla Isle has much to offer for the imagination, not only for the role player but for those who looking to immerse themselves discovery or just relax in a surreal atmosphere."
roleplay/vampire,0,Emata Almarae,The Vampire Halls at Siden,Join the 13 Clans and their minions here in the darklit halls where magic meets monster. How long will you last?
roleplay,0,Novus,The Realm of Terra - Novus City,"The Realm of Terra is a supernatural world in a modern steampunk setting. Realm of Terra is a mature roleplay sim featuring a variety of supernatural races. The sim is immersive with many local factions and secrets to explore. It's a great place to make your character's personal mark within this intricate world. For more information, feel free to visit http://terranovus.webs.com."
roleplay/vampire,0,Infernal Ville,Infernal Ville,"Take a daring journey to the various arenas, shops, and villages within Gothic role play and combat sim Infernal Ville."
roleplay/vampire,0,Grave Designs,Progeny: Vampire Castle and Grounds,"Experience adventure, chills and thrills in Progeny: Vampire, a unique role-playing game developed by and for lovers of vampire lore. "
roleplay/vampire,0,Venexia,Venexia,"Visit this SGS-enabled (Socionex Game System) vampire role-play sim, where fantasy meets reality. The location offers a gothic interpretation of Venice, Italy, built with vampires in mind. Investigate the unique vampire clan-based storyline, offering many new types of character possibilities. There is plenty to explore and do. Check out more at http://www.socionex.com/game."
roleplay/vampire,0,Crossroads,Crossroads,"Take a walk on the dark side at this combat-based role playing community. Set in 1871, Crossroads seamlessly merges Victorian Gothic with vampire-influenced video games for the ultimate in bloodthirsty thrills."
roleplay/vampire,0,Transylvania,Vampyr Empire,"Transylvania, one of Second Life's longest running communities, features a thriving, tight knit family who can offer support for new people coming into this lifestyle. You'll find towering castles, dark corners and high-class Gothic-style shopping in this popular area. Don't miss the live events at The Wall, where you'll find music 24/7."
roleplay/vampire,0,Emata Almarae,Siden Vampires,"Now that the old mansion is devoid of living inhabitants, the undead have taken it for their own. Pick up your free version of the Siden Hud and be a vampire, demon or a survivor...your choice "
roleplay/vampire,0,Lost Angels,City of Lost Angels,"Walk the streets of the City of Lost Angels, a place where demons, angels, nekos and vampires roam free. "
roleplay/vampire,0,Liquid Frontier,Bloodlines,"Become a vampire in Bloodlines. Bite people, take on minions, earn merits and awards, raise your rank or try to make it to the 1st Generation of vampire ancestry."
roleplay/vampire,0,Midnight Dreams,Midnight Dreams,"Midnight Dreams is a dark roleplay and optional combat environment focused on Vampires welcoming to all species. Featuring a variety of things to see, including a dark lit asylum, a floating lighthouse, an ancient, rune-scrawled shipwreck, a secret underground dungeon and a beautiful butterfly lake. Also connected to a Medieval Village, if you feel so inclined.  "
roleplay/fantasy,0,KoS,Kingdom of Sand,"Ride a camel down the Silk Road and enter the desert kingdom of Ireem. Explore seedy bars and opulent palaces in this lush combat roleplaying sim full of sheiks, gladiators, and magical djinn. "
roleplay/fantasy,0,Fairelands Junction,Fantasy Faire 2014,"Celebrating its sixth year, the Fantasy Faire is the largest gathering of fantasy designers, enthusiasts, roleplayers and performers in the virtual world. From May 1st through the 11th, treat yourself to eleven days of shopping, live music concerts, auctions, hunts and roleplaying. Come join thousands of Second Life residents and creators as they bring their visions together in support of the American Cancer Society."
roleplay/fantasy,0,Incantre,Incantre,Looking for an established RP sim whose fate cannot be found in history books? Where your character is not confined by existing stories in popular fiction? A sim that has been active for years instead of weeks? Incantre is an original RP fantasy/medieval setting open to a large variety of character types and players of all experience levels. Come contribute to something truly unique!
roleplay/fantasy,0,Beloved Auma,Kaeden's Landing,"Kaeden's Landing is a Gorean warrior's stronghold. Nestled at the base of the Voltai's just north of Minus, Kaeden's Landing is an ancient keep restored from ruin as a mercenary camp. They welcome the new Gorean, the old Gorean and everything in between. Fun, friendly, and helpful roleplayers looking to enjoy themselves without drama."
roleplay,0,Carleton,World of DwarfCraft,"Found on the island of Carleton, the World of DwarfCraft is home to a community of roleplayers living in and around the city of Stormprim. They're happy to welcome every traveler who arrives at the docks, be you birthrock hunting or RP'er."
roleplay,0,The Dalelands,Harrowdale,"Harrowdale is a role-play setting located in a rich fantasy world. Dubious people dwell in a rundown village, roving bands of highwaymen dwell in the forest while smugglers and bandits plan their next big score. How will you survive in this fantastic setting? Come join this community of experienced role-players and find out!"
roleplay,0,Hunter Valley,Hunter Valley,"The Hunter Valley is a dark high-medieval fantasy sim. With an underlining story arc and a fluidly designed sim, they offer a highly immersive roleplay environment. Visually striking and with an amazing attention to detail, Hunter Valley a wonderful place for residential areas, photo opportunities and compelling roleplay. "
roleplay,0,Ayrshire Fields,Ayrshire Fields,"Fun and fantasy collide in Ayrshire Fields. Explore the floating islands of the Elven Palace, the dark and seedy underworld behind the waterfall or visit the Twisted Thorn Tavern for a drink and some gossip. Ayrshire Fields is an enormous place, ripe for roleplay!"
roleplay/fantasy,0,Estara,Realm of Estara,"""Fate and Faith are the key."" Your adventure awaits among the eldritch stones of Estara. Estara is a fully immersive medieval role play environment, designed to be friendly and supportive. Come join today! "
roleplay/fantasy,0,Midgar,Midgar,"Midgar is one of Second Life's premier fan community and roleplay groups. Do you want to join the corporate military supremacy of ShinRa and aim to join the elite Soldier, or would you rather join the freedom fighting resistance of Avalanche? The choice is yours."
roleplay/historical,0,Diamond Verrogio,Will's Beatniks,"Come to Second Life Beatniks and enter the cool world of the beat generation. Dance to jazz, recite poetry or just bring a friend and relax. So come share a love of Kerouac, Ginsberg and all things beat."
roleplay,0,Syrinx,Syrinx,"Syrinx is a beautiful and authentic Viking village. This moderate, non-combat location includes period-appropriate buildings and activities, they've even got the animals and plants native to Scandinavia. There are many places to engage in chores, spiritual and cultural exploration, relaxation, chores, adventure and maybe a little romance. Beware of sharks and bears!"
roleplay/historical,0,YSL,MB Antiques,"A truly unique antique store, The Village by MB Antiques sells antiques from the 18th and 19th century in the styles of French rococo, baroque, Italian, Swedish, English and continental. Specializing in paintings, rugs, tapestries, furniture and other objets d'art. Maybe it's time to class up the old domicile?"
premium,0,Woodbine,USS Woodbine,"The USS Woodbine is a full-size model of an Independence-class light aircraft carrier, used by the US Navy during World War II. It's also a great place for flying with a historical bend. Earn your ace, take to the skies!"
roleplay/historical,0,Gentilly,Amazon Celt,"Come to Amazon Celt for role playing in the land of the Amazons! Low fantasy in 100 BC Celtic Gaul setting. Ancient, warlike, violent and untamed, prove your mettle at Amazon Celt!"
roleplay/fantasy,0,Uhre Dragon Quest,The Dragon Empire of Uhre,The life and wonder of humans is here — but so close to the origin of Dragons. It is a place of wonder and comradeship between the races. Come and explore — you may discover your destiny in this wild land of wonder.
roleplay/fantasy,0,Avalon Island,Avalon,"The Realm of Avalon is a magical world, full of fairies, dragons and other mythical creatures. Explore sunken ruins and deep dungeons, avoid deadly traps, challenge evil creatures, or fight the legendary fire-breathing dragon. You will encounter many role-play related quests of different difficulty levels and even a hidden portal to a forsaken cemetery and a multi-level dungeon."
roleplay/fantasy,0,Cadair Braeden,Cadair,"You are about to enter a world of dreams. You write the story and determine your fate in this fully immersive, multilayered medieval fantasy. Various character role-play groups inhabit the sim — join in as an elf, faun, nymph, merrow or one of many other races. "
roleplay/fantasy,0,Moonhaven,The Havens,"The Havens are four visually appealing role-play sims featuring medieval and high-fantasy themes. An informative, helpful hub is available, packed with information for those new to the role-play scene.  "
roleplay/fantasy,0,Sylvhara Tari,Sylvhara,"Sylvhara is the beautiful land of the Northern Sylvan Elves that developed as a separate culture from their woodland cousins. Though forest and natural beauty are very important to them, they are also builders and explorers. Sylvhara is filled with fierce dragons, beautiful fae and many other magical beings."
roleplay/fantasy,0,Pegase,Pandoran,"Voyage to far off planet where humanity is brought into direct conflict with a suspiciously blue alien race. A great place to role play, will you side with the human invaders or the the native tribes? Watch your story play out in a gorgeously alien world. "
roleplay/fantasy,0,NeverlandX,Goatswood,"Delve deep into the dark past of Goatswood, a SGS Victorian role-play sim set in a mysterious English village. Goatswood features an incredibly intricate, detailed world, a unique story system, multiple character possibilities, Victorian social classes, structured role-play and magic systems, covens to join and plenty to explore and do. Will Goatswood be your escape, or is it what you're escaping from?"
roleplay/fantasy,0,Avilion,Avilion,"For hundreds of years, the lands of Avilion were shrouded in mist and separated from the rest of the world. But since the mist has faded, magic reigns supreme and continues to flourish in this medieval fantasy role-playing region."
roleplay/fantasy,0,Stromness,Realm of Mystara,"Realize your dreams in the Realm of Mystara, a complex realm of worlds-within-worlds and breathtaking vistas. Visit the elven forest village high in the treetops, spend hours navigating the vast network of crystal caves, dive deep and discover a vast and magical merfolk realm, get lost in the winding Mystfolk forests, or enjoy the bustle of village life in Stromness. "
roleplay/fantasy,0,expecto,Mischief Managed,"What toil and trouble awaits at Mischief Managed? For more info on this fantasy adventure role-play area, visit http://www.mischiefmanagedsl.com."
roleplay/historical,0,Tir na Brighid,Double Dragon Academy,"The Double Dragon Academy is a place where medieval lovers may come and learn skills for jousting, swords, and archery. There are weekly classes and tournaments in this area surrounded by role-playing communities in a beautiful setting."
music,0,The Lefevre Mansion,The Lefevre Mansion,"The Lefevre Mansion is a composition of architecture, interior design and landscaping. The mansion is positioned dramatically on a hill in the middle of a wild English park and formal gardens, accompanied by a church and an art gallery. This diamond of Second Life builds was lovingly designed and created by Kaya Angel, known for the famed Rose Theater/Angel Manor."
roleplay/historical,0,Renaissance Island,Renaissance Island,"Pray ye visit this enchanted land that recalls a time when lords and ladies danced in the Royal Court of King Henry VIII. Many skilled artisans worked tirelessly to ensure that every castle, abbey, and monastery in the Parish of St. Minutia remain faithful to their historic forebears. "
roleplay/historical,0,Hattusa City,The Hittite Empire ,"Hittites are known as ‘’People of a Thousand Gods.” Whichever nation the Hittite’s have conquered, their Gods were included with their own Gods. They believed that all Gods (whoever their worshipers) are legitimate and, therefore are worthy of getting their allegiance. Hittites were the world’s first nation having an attitude of religious tolerance. They had a written legal code to protect the rights of their citizens and their religious beliefs.  "
roleplay/historical,0,Colorado,"Amiville, Colorado","Nestled among the hills and mountains of Colorado, the bustling town of Amiville is home to a variety of peoples, flora and fauna. A modest town in size, yet featuring businesses of convenience such as saloons, banks, bakeries, courthouse, church, funeral parlor and more. Cowboys gather at the the local saloon, humorously named ""the Tipsy Maiden"" where they drink, socialize, tell their tall tales or gape at the dance-hall girls."
roleplay/historical,0,The Spartan Empire,The Spartan Empire,"Engage in combat role-playing with an ancient Greek flavor. Get your shields at the ready and prepare yourself for battle in this Athenian-themed region full of gladiators, swordplay, honor, and romance."
roleplay/historical,0,ROMA,ROMA,"Journey to ancient Rome in this expansive area, which includes replicas inspired by many famous sites, such as the Forum and the Theater of Dionysus."
roleplay/historical,0,Shepham Estates,1920s Chicago,"With a gangster on every corner, the Chicago of the 1920s is alive with action as daily battles rage over control of the city's bootlegging rackets. Explore the historic city with its speakeasies, jazz clubs, and dark alleyways. Chicago also offers events such as live music and DJ's at their many speakeasys."
roleplay/historical,0,Broken Rose,"Tombstone, AZ","Some towns have stories, Tombstone has legends. Experience Wild West role-play set in 1899. Built with historical accuracy, Tombstone is one of a kind. Made up of nine different sims, Tombstone boasts seven different towns, a couple of sims fo residential living and Winslow (a Western Shopping district). Will you be a outlaw or law? A Judge perhaps? Come join the fun!"
roleplay/historical,0,1920s Berlin,The 1920s Berlin Project,"Travel back in time to this big city during an amazing era. Wander down Unter den Linden, explore the dirty old back streets, see a movie at the cinema, visit the museum, enjoy cabaret, dance the Charleston in a small Tanzlokal or at the gay Eldorado club in this role-play sim with a 1920s dress code (freebies provided)."
roleplay,0,Jardin Tropical,Old North,"Old North is an authentic American Civil War roleplay area. Set in 1862, join a place where the Union and Confederate armies skirmish while the citizens just try to get by. Brother against brother, cousin against cousin... Who will ultimately take glory and carry the day? Old North is complemented by Old South, an adjoining parcel to provide a more complete experience."
roleplay,0,Alicorns Hold,HHVET Victoriana,"HHVET Victoriana is a beautifully constructed Victorian light role play community. Set in the glorious age of the horse and buggy, they feature a mall area for vendors and consumers, several interactive areas, even carriage services with real horse avatars. They also offer carriage driving and horseback lessons along with residential estate rentals. "
roleplay/historical,0,MIC,The Temple of Portunus,"The Temple of Portunus is an ancient building in Rome dedicated to the god Portunus. Located in the ancient Forum Boarium by the Tiber river, Portunus watched over cattle-barges as they entered the city from Ostia. The temple houses a new small fashion brand to popularize the art and knitwear for men and women. Come see this wonderful recreation of a real life historic site!"
roleplay/historical,0,Calenost,Outdoor Roman Technology Museum,"The ORTEM Project is a Second Life outdoor museum of ancient Roman technology, conceived, developed and built by Alexia Carnell with the cooperation of Fern Leissa and Linteus Dench. The museum highlights both the military and civil technology used from the late republic to the height of the Roman Empire in 117 AD.  "
roleplay,0,Gehenna Crossing,Gehenna Crossing,"Gehenna Crossing is an immersive, emotive roleplay sim set in 1888 Wyoming. Brought to you by the storytellers who had made the legendary Deadwood sim, this build typists to re-live the real life-range wars where ranchers, farmers, railroad interests and townies battled for control in the time of Billy the Kid and Cattle Kate. There's saloons, brothels, ranches, respectable businesses and more."
roleplay/pirate,0,Black Spot,Black Spot,"Like pirates? Visit Dead Man's Chest and the Black Spot Shipyard to investigate or even purchase your very own tall ship, pirate vessel, or boat. This nautical-themed set of islands should delight both seafarers and landlubbers alike."
roleplay/pirate,0,Emata Almarae,Siden Pirate Haven,"Sail the seas at Siden Pirate Haven. Charter ships then pillage and plunder treasure. Wear the interactive EPC hud, which is free when you enter the sim. Then, immerse yourself in a pirate adventure that unfolds as you play. Your charter ship may be lost as sea or could just return with booty beyond your dreams."
roleplay,0,Trade Winds,Trade Winds,"Trade Winds is a residential pirate role-play community consisting of a large group of sailable regions. They hold events daily, including naval battles using the spd combat system, sword fighting, belly dancing, LIVE music, DJs, dances and much more. So fill your mug with grog and come live the pirate life!"
roleplay/pirate,0,Blake Diego,Freeport Township of Flotsam,"Tons of fun and fantastic builds in a pirate enviroment.  Don't miss the incredible undersea grotto, the best Nemo's Nautilus in SL and all the funky funny shops. Set aside a couple of hours just to get acquainted with the freeeport of Flotsom."
roleplay,0,Pirates Keep,Morgan Straits,"Welcome to Morgan Straits, a roleplay community set in the Golden Age of Piracy. Ravage the waters as pirates, navy officers, mer, natives, gypsies, corsairs, marauders, fisherman, thieves or wenches. Join Morgan's crew in a high seas adventure of sea battles, wild taverns, treachery and mayhem!"
roleplay/scifi,0,Rowan,San Francisco Bay Academy,"Visit the metropolis of tomorrow as you experience a futuristic vision of San Francisco, a place of cooperation, diplomacy and democracy."
roleplay/scifi,0,Desperation Andromeda,Space Colony Necronom VI,"Space Colony Necronom VI is a dark adult-themed role-playing area where you can assume the role of trader, slave or alien. "
roleplay/scifi,0,Hangars Liquides,Hangars Liquides,"This huge, tangled cyberpunk-influenced city is also home to a European hardcore electronic music label called Hangars Liquides."
roleplay/scifi,0,BLADERUNNER CITY,Offworld Colonies,"Wander through the OffWorld Colonies, a 3D graphic vision of the future."
roleplay/scifi,0,INSILICO,InSilico,"The future is leaking backward in the form of InSilico, a high-end cyberpunk role playing sim in Second Life."
roleplay,0,Botany Bay,Botany Bay,"Botany Bay is a unique multi-genere Sci-Fi roleplaying sim. With a unique, inclusive backstory and lore, this sim is friendly to many different types of Sci-Fi roleplayers. With no meter requirement and flexible play styles, the staff work to make everyone feel welcome, new or seasoned. Rental and space available."
roleplay/scifi,0,Metropolis City,Metropolis,"Metropolis City has a certain futuristic charm. Visit each of the four distinctly elemental areas, clubs, lounges, dance floors, towering neon skyscrapers and more. There's obviously been quite a bit of thought placed in this intricate location, not to mention live DJ's from across the globe, fight nights and other grand events. Fire, wind, water, earth, see how they all combine in the sprawling sci-fi Metropolis. The future awaits!"
science,0,Explorer Island,Jet Propulsion Laboratory,"From NASA's California Institute of Technology, this exhibit showcases and explores the history of space travel and its related technologies."
roleplay/scifi,0,Delenn,Babylon Roleplay,"Travel to a floating space station, all alone in the dark. This Sci-Fi roleplay location hearkens back to futuristic show set in the 2270s. They have roleplay episodes every Wednesday, Friday and Sunday at 3pm SLT. Founded in 2007, it's now in it's 4th season."
roleplay,0,Olyesti,Zenobia Time Station,"The lost Zenobia Time Station returns above the Three Minute City of Olyesti. Zenobia Time Station is a roleplay haven for time travelers and their companions. Come find refuge, weary traveler, from this universe at war."
science,0,Euclidia,Euclidia Space Planetarium,"The Euclidia Space Planetarium is designed to educate and entertain Residents about astronomy, the night sky, and celestial navigation. Follow the footsteps through the multiple levels to explore our vast galaxy."
science,0,Bowness,Raymaker Field Studies Centre at Bowness,"Learn more about geography, geomorphology, and the earth sciences by exploring this island and interacting with its exhibits. Highlights include the ability to walk directly inside a volcano, an earthquake simulator, and a climate change/reef health simulation."
science,0,Space Destiny,Avalon Planetarium,"Immerse yourself in a realistic, 3D planetarium experience as you enter this dome and begin the show. You'll see the night sky and stars as if you were deep in the desert, far away from city lights and smog. Each show lasts approximately 20 minutes and new exhibitions are added every six months."
roleplay,0,BSG Resurrection,Resurrection,"See the return of Battlestar to Second Life! Resurrection is a role playing sim based on the popular series. Come and see the one and only mesh Battlestar Hyperion, a fully-functioning playground for all those great stories. For further information about this non-profit sim, visit www.bsgresurrection.com. Their story is just beginning... Is yours?"
science,0,Rumsey Maps 3,David Rumsey Maps,"Discover antique maps in a unique, experiential way and explore a 3D recreation of Yosemite in 1883."
real,0,Blue Wing,Sydney City,"Visit Sydney City for shops, live acts, boats, famous landmarks, intricate mesh construction, clubs and much more. Come see what Sydney has to offer!"
real,0,Evidence,Brighton Wheel,"Come see the Second Life version of the real world Brighton Wheel. This authentic British seaside centerpiece resides at Britannia Village, where you can enjoy the seaside sights from inside one of the Wheel's carriages - or hang perilously from beneath!"
real,0,Evidence,Britannia Village,"Come by and enjoy Britannia Village's natural British beach, marina and promenade. Two sims in size, Britannia Village has a sprawling ocean and several exclusive builds. Enjoy games, sailing or their very own night club. Britannia Village is a great community spot for all to enjoy!"
real,0,New Brighton,New Brighton,"Loosely based on Brighton in the UK, New Brighton features a pier (and fireworks just after every sunset), scooters, shops, galleries, helicopter rides, a beach, diving, hot air balloons, jetboats, rides, UFOs and more. So what are you waiting for, get over here!"
real,0,Hollywood,Hollywood,"Hollywood is a wonderful place to come and just stroll around. Bring your sweetie and enjoy walking along the Walk of Fame, take in the views of the Starboards Yacht Club and the vibrant marina. Take a picture with friends as you all sit atop the world famous Hollywood sign.  Come on your own and enjoy some solitude and relaxation sitting at one of our many wonderful and relaxing vistas."
real,0,Velbert,Cliffs of Moher,"Lovingly replicated from the original in county Clare, Ireland, the Cliffs of Moher are part of a four-sim, 1939 Irish village called O'Hare's Gap. Come unwind and take in the views. You will find much to explore in this very Irish experience."
real,0,Evidence,The Martello Tower,"Martello towers are small defensive forts that were built across the British Empire during the 19th century. Standing on the cliffs, Britannia Village's Martello Tower is based on the Martello's near Folkestone in Kent. This tower has been converted to a home for all to tour and enjoy."
real,0,Misthaven,Southern California,"Welcome to Southern California! This themed sim is dedicated to Southern California beaches. Hang out, soak up some sun and enjoy the famous SoCal skateboarding at their local skate park. Be part of the SoCal community and live the Southern California dream."
real,0,Ceti,Yogyakarta Borobudur,"Yogyakarta, Indonesia, has some of the most famous archaeological sites around. Borobudur and Prambanan are some of the largest ninth century temples discovered. Come explore these intricate and mysterious locations. "
real,0,LONDON Mayfair,Shaftesbury Memorial Fountain,"Visit the Shaftesbury Memorial Fountain, which is a replica of the real life fountain that honors the late philanthropist, the seventh Earl of Shaftesbury."
ridesmazes,0,Magic,Alien Artifact - The Trap 3.0,"Can you escape The Trap 3.0? What secrets can be found in this interesting maze themed around a 10,000-year-old alien artifact? Navigate through all the chambers, rooms, corridors, pitfalls and hassles to find your way out and claim a small gift at the exit."
real,0,La Baule,La Grand-Place in Brussels,"Travel to La Grand-Place in Brussels, where the famous UNESCO World Heritage site is meticulously reproduced in Second Life. More info at www.brussels1000.be."
howto,0,Dublin,Dublin,"This remarkable recreation of Dublin's downtown area is full of interesting attractions and replete with Irish hospitality, bars, music, and great company."
real,0,London City3,The Houses of Parliament,"Visit the Houses of Parliament in London City, which consists of the Big Ben clock tower, the House of Commons and the House of Lords. You may even catch a glimpse of the Prime Minister."
real,0,Knightsbridge,Big Ben in London,"Visit one of England's most iconic monuments! Big Ben is a a replica of the famous bell clock tower, which is located at the end of the Palace of Westminster. Guests can walk into the tower and grab mini-replicas of Big Ben and go up to the actual bell tower and take in London and hear the bells chime on each hour. Relive history at this exciting international treasure."
real,0,Grand Canyon North,Lake Tahoe,"Lake Tahoe Ski Resort is one of the few remaining ski resorts in Second Life. Besides winter sports, it offers many photo ops with snow-covered mountains, reflective waters and panoramic views. There's even a cozy lodge and many fun activities to enjoy."
real,0,Lanestris,The Virtual Chelsea Hotel,"The Virtual Chelsea Hotel is the official virtual reproduction of NYC's Real Chelsea Hotel. We feature live music, DJ-ed events and 25 art galleries. It's also a place where you can rent rooms and apartments and live out all your Chelsea Bohemian dreams. New residents are always welcome in this friendly community. Come visit the authentic Chelsea Hotel!"
real,0,Palma,Celebrities Hangout,"This is the peaceful paradise of the celebrities. Get away from it all and enjoy horses, bicycles, boats, tribute concerts and romantic spots. You can even be lucky enough to meet your favorite rock star! Family and couples oriented."
real,0,Our Island,Basilique,"Basilique is a lovely town set in northern Italy. Visitors are invited to walk the leafy square and waterfront piers, relax in the bar or cafe, and row around the lake before enjoying wonderfully immersive theatre produced by the Basilique Performing Arts Company. Visit http://bit.ly/thebasilique for more information. "
real,0,Klein,X-Dynamics Airport,"X-Dynamics is the oldest continuously-operating, fully-functional airport at Blake Sea. The airport is open for all, so feel free to rezz your airplane and fly to any location in Blake Sea."
fashion,0,Shekhawati,Shekhawati,"A must-see for anyone looking to add a little Indian flair to their land or avatar, Shekhawati carries a variety of items from South Asia. There's everything from dresses to artwork, all in gorgeous papercraft-style houses decorated with stunning Indian murals."
real,0,South Park,Tower Bridge,"Tower Bridge is a combined bascule and suspension bridge over the River Thames in London, connecting Tower Hamlets and Southwark. The real life version opened in 1894, while the Second Life version opened in 2010. This iconic London landmark provides an eye catching back drop to this popular social region. "
adult/fashions,0,dead realm,KDC: Kyrah Design Concept,Like latex? KDC is a unique and moody adult-themed shop where you will find unique designs to fulfill your fantasies.
adult/fashions,0,Digital Dream,Digital Dream,"Digital Dream provides high quality indoor and outdoor furniture, as well as seasonal decorations. Digital Dream products feature adult animations that indulge role-play and other sex related fantasies. Items are on display and allow interaction, giving visitors an opportunity to see how they work."
romance/wedding,0,DreamsLand,Celestina's Weddings,"Celestina's Weddings has more than 21 venues to choose from to create a very romantic, magic and unique atmosphere for your special day. Explore with your partner or take a guided tour with one of the bilingual wedding planners."
romance/wedding,0,Penryn,Balnazzar Chapel,"Looking for the perfect romantic venue to tie the knot? Head to Balnazzar Chapel, where you can stage a picture-perfect wedding — and then explore the grounds with your new spouse. "
romance/wedding,0,BlueDreams Islands 007,Magic Foxtrot Wedding,"Plan and celebrate your special day at Magic Foxtrot Wedding, a wedding agency that supports English, Italian and French languages. More info at www.mgfwed.c.la."
romance/wedding,0,Odumin,Q&A's Wedding Supplies & Services,"As well as helping Residents arrange their entire wedding, Q&A also offers an elegant setting with a variety of themes, furnishings, seating and decorations available."
romance/wedding,0,Cerveza Island,Chapel of Dreams,"Nestled in the forest facing a sparkling river in a small picturesque village stands the Chapel of Dreams, the perfect place for elopements and small intimate weddings. The minister is fully automated so there's no scheduling and no waiting! Wedding music and animated poseballs are provided. You can also have a ""wedding rehearsal"" by trying out the demo first."
romance/wedding,0,Island Paradise,BYB Photography and Weddings,"BYB Photography is a professional Second Life photography studio and wedding planning business. Whether you need profile pictures, maternity photos, elopements or a grand wedding, they offer it all. They offer some of the most competitive pricing on the grid, and will match any better prices. Come visit!"
romance/wedding,0,Playa Macao,Aster's,"Aster's is your place for custom made invitations and accessories, such as chapel, flowers, gifts and gowns. They also offer full perm wedding invitations."
adult,0,Edgecliff,U.F.O. Abduction the Exxperince,U.F.O Abduction the Exxperience is a Theta research ship. The Theta aliens preform abductions to observe the naughtiest encounters in over 40 research rooms. Come on up and get abducted! 
adult/clubs,0,Eccentric Paradise,The Redmoon Club,"Redmoon Club is an adult environment to come hang out with other adults, listen to music, meet new friends, maybe even bowl a few games. No rules in this great relaxing environment, just be respectful and have a great time."
adult,0,Aveiro Coast,Lumenos Strip Club,"Lumenos is a strip club that caters to most genres, where everyone is welcome. Seduction, temptation, desire and perfection all under one roof. "
adult/clubs,0,Nude Beach,Naturist Beach,Enjoy summer every day! Visit Naturist Beach for naughty naturist fun.
adult/clubs,0,Eagle Grove,DarkWood Savage Angels,"Darkwood Savage Angels is the perfectly sinful playground. When you visit a strip club, you’re looking for the best experience, and Darkwood Savage Angels is here to deliver! Skip the games, get the satisfaction. "
adult,0,RAWR,Sole Desire Foot Palace,"Sole Desire Foot Palace is a foot fetish club with many areas of play and enjoyment. They have a superb dungeon, RLV area, all of the latest and best foot toys on the grid, an amazing ballroom for your romantic moments, general chat spots and much more. Come enjoy the best of the best at Sole Desire. "
adult/clubs,0,Macando,The G-Spot ,"The G-Spot is a fun, flirty and sexy beach resort for adults to gather to talk and dance. If the mood strikes, you can enjoy the more playful and sensual side of SL."
adult/clubs,0,PAINEfully enTWINEd,7 Sins,"One of SL's longest running adult venues, where quality in design and experience are hallmarks of the establishment. Patrons can relax in the sumptuous surroundings, bask in the attention of the staff or make use of the free recreational facilities and public rendezvous areas."
adult/clubs,0,Dirty Rythms,Dirty Rythms,Dirty Rythms is an adult community across multiple sims. Explore area ranging from formal to urban grunge to a sexy haunted house. Enjoy the ambiance of the nude beach and tropical jungle grottos. 
adult/clubs,0,The Dominion,The Dominion Femdom,The Dominion Femdom is an adult community focusing on female-led relationships in a BDSM context. Visit http://www.DominionFemdom.com for more info about this thriving community.
adult/clubs,0,Passionate Hearts,Heartbreak Swingers Resort,Heartbreak is a full adult tropical region that features nightly club events and naughty beaches. This is a great place to meet people or to visit with that special someone. 
adult/clubs,0,ExtasY,The Penthouse,"The Penthouse is a great lounge to meet, flirt, tease and have fun with nice music and chill ambiance."
adult/clubs,0,Blue Curacao,Pink Velvet Club,"Ever see an extremely wild virtual strip and dance? Here's one classy club to the tune of more than racy burlesque. Meet dozens of beautiful, flirty females that love to interact closely with new people! The parties here, shall we say, are quite intimately engaging. More info at http://www.pinkvelvetclub.com"
adult/clubs,0,Rinji,GYC,"GYC is an adult GLBTO furry community that covers two entire sims! It even comes complete with its own hangout, mall, themed private rooms, shopping district and residential area. They have games, activities, events, live DJ's and lots of friendly folks to share them with. So if you're 18+, come join them for some fun. "
adult/clubs,0,Wirreno,SEB Gay Life,"Visit Sebastian — one of the oldest gay communities in SL (established 2007). Highly regarded for its design and unique atmosphere, this location features rental homes, a shopping mall, art gallery, hotel, fitness center, danceclub, darkroom and even a bathhouse."
adult/clubs,0,Fredrix,Lar's House,"Welcome to Old Lar's House. a popular adult place to meet old friends and make new ones. Great deejay music, live performances, exotic dancers and a great crowd keep this place rocking."
